Date,Tweet,Stock Name,Company Name
Sat Feb 01 17:00:00 +0000 2025,"When you lose, figure out why, and learn from it! #stockmarket #daytrading #livetrading #tradingstrategy $SPY $TSLA $AAPL $NVDA $AMZN",AMZN,Amazon
Sat Feb 01 14:59:21 +0000 2025,$META - Huge breakout from this one one. Leading the big caps along with $GOOGL $AMZN $NFLX etc,AMZN,Amazon
Sat Feb 01 13:50:35 +0000 2025,Good earnings from $ASML and $EVO. Looking forward to $GOOGL and $AMZN,AMZN,Amazon
Sat Feb 01 17:10:00 +0000 2025,"Options account increased by $60,553 in JANUARY Realized income from Premiums from CLOSED trades: $25,191 Total realized income (including Capital Gains) $13,905 $TSLA $NVDA $AMZN $AMD $GOOGL $ZS $MDB $GTLB $MU $META $COIN $MSTR $AVGO $CMG $MSTX $AAPL $PLTR",AMZN,Amazon
Sat Feb 01 05:42:34 +0000 2025,$META - Huge breakout from this one one. Leading the big caps along with $GOOGL $AMZN $NFLX etc,AMZN,Amazon
Sat Feb 01 22:39:25 +0000 2025,"BEST OF BREED | HIGH CONVICTION: **list from January 2023 with minor tweaks, not all inclusive!** SaaS: $CRM $DDOG $NOW Cybersecurity: $CRWD $ZS $NET $PANW Cloud Services: $AMZN $MSFT Big Data &amp; AI: $SNOW $PLTR AdTech: $TTD $GOOGL $META E-Comm: $SHOP $MELI Semis: $NVDA $AMD",AMZN,Amazon
Sat Feb 01 21:13:15 +0000 2025,"Trump tariffs on Canada, Mexico, and China were expected to start Saturday but have yet to materialize. Meanwhile, investors are eyeing upcoming earnings reports from $AMZN, $GOOG, and $PLTR. Stay tuned for market reactions.",AMZN,Amazon
Sat Feb 01 11:46:35 +0000 2025,"I have a friend working in the autonomy division of BMW. He says only his division’s monthly AWS bill is over $500,000. They keep all sorts of data from video to measures of human reflexes. He says it’s only going up. How can you not be bullish on $AMZN?",AMZN,Amazon
Sat Feb 01 00:28:49 +0000 2025,"Jim Cramer highlights a pivotal week ahead for investors with earnings reports from giants like Amazon, Alphabet, Eli Lilly, and Palantir. Stay tuned for insights that could impact your portfolio. $AMZN $GOOG $LLY $PLTR",AMZN,Amazon
Sat Feb 01 00:53:25 +0000 2025,"Jim Cramer highlights an earnings-packed week ahead, featuring pivotal reports from major players like Amazon, Alphabet, Eli Lilly, and Palantir. Investors should stay alert for potential market shifts. $AMZN $GOOG $LLY $PLTR",AMZN,Amazon
