Date,Tweet,Stock Name,Company Name
Mon Apr 14 21:49:21 +0000 2025,"how to kill features from smaller startups: part 1000 thanks $MSFT, fuck you $MSFT",MSFT,Microsoft
Mon Apr 14 19:02:06 +0000 2025,"Not hitting your trades? This could be why ⬇️ 1/6 Most traders don’t lose because they “picked the wrong stock.” They lose because they had ZERO CONVICTION going in. Conviction isn’t a vibe — it’s built from analysis, planning, and clarity. $SPY $TSLA $NVDA $QQQ $MSFT",MSFT,Microsoft
Mon Apr 14 06:35:08 +0000 2025,"Leaders from Microsoft, AMD, and AUO will deliver keynotes at Display Week 2025, focusing on human-AI interaction, AI leadership, and microLED innovation. The event runs May 11–16 in San Jose. $MSFT $AMD $AUO $NVDA $INTC $TSM $OLED $LPL",MSFT,Microsoft
Mon Apr 14 19:28:18 +0000 2025,We've see some great mid-day curls to the upside from the lunch lower gap fill on $SPX $SPY $QQQ Some curls I'm watching/playing: • $MSFT • $HOOD • $GEO • $AMZN • $GOOGL • $HIMS • $GRND • $TSLA / $TSLL • $DKNG,MSFT,Microsoft
Mon Apr 14 17:19:17 +0000 2025,"Buying the dip doesn’t work in a sector that’s structurally breaking down. Instead, you must find the new leaders. For now, that means stepping away from big tech stocks. $AMZN $AAPL $GOOG $META $MSFT",MSFT,Microsoft
Mon Apr 14 05:32:12 +0000 2025,Fuck Tim Cook and Apple. Fuck Microsoft and Bill Gates. Fuck Zuck and Meta. Trump has been saying to move supply chains away from China for 8 years and you’re complaining tariffs too short notice and need more time…. 8 years. Get fucked. $aapl $msft $meta $tsm $nq $qqq,MSFT,Microsoft
Mon Apr 14 13:15:31 +0000 2025,"$IBM continues its pivot toward AI and quantum computing. While expanding post-quantum cryptography and announcing its 156-qubit System Two in Europe, it’s also cutting US jobs and shifting roles to India. Watching moves from $MSFT and $GOOG closely. Read about AI stocks",MSFT,Microsoft
Mon Apr 14 15:13:13 +0000 2025,Where are market gains coming from? Large chunk of gains from: $AAPL $MSFT $NVDA $GOOG $WMT Weakness in $AVGO $JPM $UNH $AMZN $META $DJI has bullish features but momentum isn't bullish $DJI $QQQ $SPX $SPY $IWM $DXY $VIX $tslal $djt #stocks #Stockmarket $dell $intc $MS,MSFT,Microsoft
Mon Apr 14 22:20:30 +0000 2025,I think $amzn is different from grandpa $msft @JeffBezos @saylor,MSFT,Microsoft
Mon Apr 14 10:53:03 +0000 2025,"$MSFT Market Update! The pullback from the peak successfully reached the blue box, creating a valuable swing buying opportunity. Stay tuned for further market developments and insights! #Elliottwave #TradingStrategies #Microsoft",MSFT,Microsoft
Mon Apr 14 12:00:36 +0000 2025,"If $META, $GOOGL, $MSFT and $AMZN are so concerned about power for their new AI campuses, they should look at buying at out who has access to said power. Why lease compute from $MARA, $RIOT, $HUT et al, when you can buy the whole company at a fraction of the cost?",MSFT,Microsoft
Mon Apr 14 10:54:17 +0000 2025,"$MSFT Latest Update! The price is demonstrating a strong reaction higher from the blue box area, signaling promising market activity. Keep watching for further developments! #Elliottwave #Trading #Microsoft",MSFT,Microsoft
Mon Apr 14 14:54:55 +0000 2025,$MSFT just alerted from hitting the MCP,MSFT,Microsoft
Mon Apr 14 14:56:55 +0000 2025,"$MSFT | (MSFT): UBS maintains , $ (from $510) on capex caution ahead of 3Q print",MSFT,Microsoft
Mon Apr 14 03:13:14 +0000 2025,"Me was going to make a killing on $TSLA $SPY n then this back n forth on #tariffs from #Trump just derail hopes to destroy da #bears . Does anyone in da @realDonaldTrump @POTUS administration knows what da ramifications of ""20%+ tariffs? $SPX $NVDA $GOOG $AAPL $MSFT $WFC $JPM $GS",MSFT,Microsoft
