Date,Tweet,Stock Name,Company Name
Fri Mar 28 13:46:15 +0000 2025,$ORCL - big federal tech contracts being cut. Stock is plunging Which company drives more than 50% of its rev from govt contracts? $PLTR one of the MOST overvalued companies. $MSFT $GOOGL $AMZN,MSFT,Microsoft
Fri Mar 28 18:34:27 +0000 2025,$ORCL perfect storm brewing .... this one looks a lot worse than even before it started running back in 2024.... this huge magnetic formation most likely would result in a break down.... and no new exciting development from $nvda $avgo $tsm $msft means no real reason to look into,MSFT,Microsoft
Fri Mar 28 19:34:43 +0000 2025,Are we going to get another lost decade from the MAG 7? $TSLA $AMZN $APPL $NVDA $GOOGL $MSFT $META,MSFT,Microsoft
Fri Mar 28 17:03:31 +0000 2025,Happy liberation from your wealth $MSFT $AMZN $GOOG $META $V $MA,MSFT,Microsoft
Fri Mar 28 14:37:00 +0000 2025,Tariffs set to jump 3-4x from here... $SPX $NDX $TLT $QQQ $TSLA $GOOG $MSFT $META $AAPL $AMZN $NVDA $TSM $MU $AMD $ARM $SMH $XLK $BTC,MSFT,Microsoft
Fri Mar 28 16:43:36 +0000 2025,"Almost near $1000 points sell from our entry and attack. Trade price 20,477 $nq $SPX #us30 #forex $aapl $nvda $msft $tesla $aapl $es_f $spy $btc $nvda #eurusd $USD $nq_f $xauusd #MMXM #trump #Biden #Elections2024",MSFT,Microsoft
Fri Mar 28 21:23:52 +0000 2025,Seems like some accounting bs from $MSFT to smooth gaming revenue.,MSFT,Microsoft
Fri Mar 28 06:27:47 +0000 2025,"Remember X-Men: The Arcade Game from the 90s? Well, this is the modern version of it. #gaming #ps5 #xboxseriesx $MSFT",MSFT,Microsoft
Fri Mar 28 23:13:03 +0000 2025,"Potential bearish engulfing on the weekly for $MSFT right at a key level of support call it 390. With XLK/SPY also breaking down from a topping formation it definitely doesn't look good, might be time to test that 350 level $XLK",MSFT,Microsoft
Fri Mar 28 13:29:30 +0000 2025,Your Trading Edge Is Here; Don’t Miss This Critical Signal! Price From 52 Week Low: $IQ | 23.21% $LULU | 33.82% $AAPL | 26.70% $YOU | 41.10% $MSFT | 3.50% $ALL | 25.15% $IT | 3.62% $CVNA | 66.85% $GOOGL | 9.26% $GME | 54.96…,MSFT,Microsoft
Fri Mar 28 12:17:00 +0000 2025,Good morning and happy FriYAY! We all know how choppy Fridays can be. Hug your profits from the week. Don’t give them back! Follow your rules. #takeyourday $BTC $ETH $AAPL $TSLA $GOOG $MSFT $NVDA $AMZN $META $XRP $DOGE $SPY $QQQ $SOL $GME $AMC $ADA $COIN $PLTR $SHIB $HOOD $SMCI,MSFT,Microsoft
Fri Mar 28 17:19:27 +0000 2025,"$MSFT flirting with it's year 2025 low and, can you imagine, losing ALL of the gains from 2024 under the 2023 close @ 376.04",MSFT,Microsoft
Fri Mar 28 02:40:37 +0000 2025,"Market Update Market eyes PCE (3/28, 8:30 ET) &amp; tariffs (4/2, ~4 ET). $TSLA, $META, $MSFT may gain on tariff relief &amp; tech strength; $INTC, $IWM, $NVDA risk losses from weak PMI or trade fears. $SPY, $QQQ hinge on inflation, trade news.",MSFT,Microsoft
Fri Mar 28 19:51:57 +0000 2025,Software forward hiring indicators from JPM. $MSFT getting sequentially worse through the year.,MSFT,Microsoft
Fri Mar 28 09:04:32 +0000 2025,"No bubble. It's just a wobble. GS: the P/E for Mag 7 2-yr forward is low 20s –– roughly half of the dominant 7 in the tech bubble of the late 1990s. $NVDA $AAPL $GOOGL $MSFT $META $AMZN Also they're much more favorably valued to Japan's in 1980s, or ‘Nifty fifty’ from 1970s",MSFT,Microsoft
Fri Mar 28 13:12:00 +0000 2025,Every company in my portfolio listed by percent down from 52-week highs: $ASML -38% $NOW -30.9% $NVDA -27.2% $PYPL -26.5% $CRM -24.7% $KLAC -21.9% $GOOG -21.4% $META -18.7% $AMZN -17% $MSFT -16.6% $UBER -14% $SPGI -6.7% $V -4.6% $MA -4.2%,MSFT,Microsoft
Fri Mar 28 18:05:07 +0000 2025,"@RamonGo62661955 Azure and Windows give $MSFT a strong moat, but $GOOGL and $META's data advantage from their ecosystems keeps them in the game.",MSFT,Microsoft
Fri Mar 28 19:43:06 +0000 2025,"SoftBank is planning to invest up to $1 trillion to create AI industrial parks in the US, according to a report from Nikkei, after it teamed up with Oracle $ORCL and OpenAI on Project Stargate. $MSFT $META $GOOG $AMZN $NVDA",MSFT,Microsoft
Fri Mar 28 12:50:20 +0000 2025,Prediction: 2 Stocks That Will Be Worth More Than Rigetti Computing 1 Year From Now @themotleyfool #stocks $DFH $MCD $MSFT $GOOGL $NVDA $NVR $GOOG $QSR $PTON $AMPL $RGTI,MSFT,Microsoft
Fri Mar 28 00:25:43 +0000 2025,This guy told you the news from today A MONTH AGO. It was clear Satya was out of the arms race. $MSFT $NVDA,MSFT,Microsoft
Fri Mar 28 19:43:18 +0000 2025,7.7 from .6 omg $MSFT,MSFT,Microsoft
Fri Mar 28 17:45:05 +0000 2025,$SPX From the premarket plan to live call outs. We do it all every day. We were ready. Link in profile. $SPY $CRWV $QQQ $VIX $SQQQ $TSLA $NVDA $AAPL $MSFT $IONQ $SMR $RKLB $ASTS $GME $AMC $GOOGL $LLY $NVO $IWM $BROS $SBUX $ROKU,MSFT,Microsoft
Fri Mar 28 15:59:41 +0000 2025,LUNCH TIME Take a break from the screens! $SPY $SPX $QQQ $TSLA $NVDA $ARM $AMD $TSM $SMCI $PLTR $AAPL $MSFT $COIN $MSTR $BABA,MSFT,Microsoft
