Date,Tweet,Stock Name,Company Name
Sat Feb 01 09:13:05 +0000 2025,how can i send my USDT From Okx wallet to binance exchange? $pegy $AAPL #USDT $COIN $AMZN $MDWD $PLTR $MSFT $UP $KOSS $ANVS $META $DXYZ $ZONE $TSLA $NVDA $GME $DJT $MULN $QQQ $SPY $DIA $QQQ $IWM $AMZN $SOFI $MSFT $AAPL $TSLA $SPCE $UTHR $IN #Bitcoin #Crypto,MSFT,Microsoft
Sat Feb 01 23:59:05 +0000 2025,"Trump said he has implemented a 25% Tariff on Imports from Mexico and Canada(10% on Canadian Energy), and a 10% additional Tariff on China. $FXI $HSI $KWEB $YINN $PDD $BABA $TME $NIO $BYD $LI $NVDA $TSLA $MSFT $SPY $QQQ $BTC $ETH $IBIT #DeepSeek #tariffs #tariff",MSFT,Microsoft
Sat Feb 01 02:38:58 +0000 2025,"#Auto #LiAuto Li Auto delivers 29,927 cars in Jan, almost halves from Dec -CnEvPost $FXI $MCHI $HSI $YINN $KWEB $CWEB $BABA $PDD $PLTR $NIO $XPEV $LI $BYD $MSFT $TSLA $NVDA $QQQ $SPY $TRUMP $BTC $ETH $IBIT $QTUM #DeepSeek",MSFT,Microsoft
Sat Feb 01 23:11:19 +0000 2025,Trading stats from today's session: $AMZN $AAPL $BA $BABA $FB $TSLA $MSFT $ROKU,MSFT,Microsoft
Sat Feb 01 00:08:07 +0000 2025,"mega cap monthly candles emoji version $AMZN, $GOOGL, $META, $NFLX ‍ $AAPL, $TSLA $NVDA, $MSFT (@FusionptCapital need those $SPX targets from those big firms )",MSFT,Microsoft
Sat Feb 01 09:07:41 +0000 2025,how can i send my USDT From Okx wallet to binance ? $pegy $AAPL $SPY $COIN $AMZN $MDWD $PLTR $MSFT $UP $KOSS $ANVS $META $DXYZ $ZONE $TSLA $NVDA $GME $DJT $MULN $QQQ $SPY $DIA $QQQ $IWM $AMZN $GME $SOFI $MSFT $AAPL $TSLA $GRND $SPCE $UTHR #Crypto #Bitcoin #BTC #TRX,MSFT,Microsoft
Sat Feb 01 23:34:35 +0000 2025,Master Trading Skills While Working From Home! $AAPL $AMZN $BTC $ETH $FB $GOOG $MSFT $QQQ $SPY $TSLA $EPR $WYND $LIVN $BBU $SPR $APLE $PK $M $CUK $CAR $CPA $EHTH $SHOO $CORT $EPZM,MSFT,Microsoft
Sat Feb 01 19:20:53 +0000 2025,"$QQQ $NVDA $TSLA $GOOGL $MSFT $AAPL $META $NFLX $AMZN $ARM $AMD $ORCL $IBM $CRM $SAP $SPY $DJIA #MAG7 $mstu $mstx $MSTR MicroStrategy owns 45x the amount of $BTC Tesla has $TSLA Post-earnings pump in a bloody red market, was no mistake",MSFT,Microsoft
Sat Feb 01 15:33:29 +0000 2025,@CadeBergmann ETH from a Volume weighted average perspective. Using a set of rolling vwaps we can unwind where participants are positioned and what we need to see for conditions to change. ES_f $NQ_f $QQQ $NDX $SPY $SPX $BTC $TSLA $MSFT $AAPL $NVDA $GOOG $AMZN $META $NFLX Bitcoin,MSFT,Microsoft
Sat Feb 01 22:39:25 +0000 2025,"BEST OF BREED | HIGH CONVICTION: **list from January 2023 with minor tweaks, not all inclusive!** SaaS: $CRM $DDOG $NOW Cybersecurity: $CRWD $ZS $NET $PANW Cloud Services: $AMZN $MSFT Big Data &amp; AI: $SNOW $PLTR AdTech: $TTD $GOOGL $META E-Comm: $SHOP $MELI Semis: $NVDA $AMD",MSFT,Microsoft
Sat Feb 01 23:39:02 +0000 2025,Breaking News: Tech Titans' Mixed Earnings: A Bellwether for the Sector $MSFT $META $TSLA #AInvest #AInvest_AIScreener #Tech #Financialfreedom #Stockmarket,MSFT,Microsoft
Sat Feb 01 16:33:53 +0000 2025,$vvv going to $0 like $luna WORTHLESS JUNK from @ErikVoorhees and @coinbase #vvv is literally COLLAPSING right before our eyes #crypto #altcoins $btc $trump $eth #ai $nvda $tsla $msft,MSFT,Microsoft
Sat Feb 01 01:50:10 +0000 2025,"SHEESH! Our member made $5,500 this week, going from $2,700 to $8,200 He took alerts all signaled in our live-trading voice chat If you want to be the next success story, join us TODAY $SPY $AAPL $MSFT $NVDA $QQQ $TSLA",MSFT,Microsoft
Sat Feb 01 18:24:06 +0000 2025,Here is what I learned from mega caps earnings reports last week. To summarize: $MSFT Clouds are having a bad day $TSLA Marry an Optimus in 2030 $META We love spending b/c we can $AAPL Working hard to improve pixels,MSFT,Microsoft
Sat Feb 01 05:06:12 +0000 2025,A member just earned +$3000 from $ALUR! Ready to take your trading to the next level? Start your 14-day FREE trial today!! $INTC $AAPL $SPY $NVDA $UPS $AAL $QQQ $FOXX $GM $UPXI $UBER $NVDA $MSFT $TSLA $ASML,MSFT,Microsoft
Sat Feb 01 06:48:41 +0000 2025,"MICROSOFT Stock price is up 3% in one year. This post from July marked the top in price (see chart). I'm wondering to what extent certain institutions are following this account and creating a self-fulfilling prophecy. BTW, back then, it's not as if I ""knew"" $MSFT was the",MSFT,Microsoft
Sat Feb 01 16:55:34 +0000 2025,"example of some of the detected Attacks from that Time Frame where the Tina Peters' Case spans The Peters Case shows remote Attack on her Office &amp; Colorado Clerks' Offices &amp; their Employees' Locations: So not ""email"" still $MSFT $INTC $IBM $GOOGL $AAPL",MSFT,Microsoft
Sat Feb 01 21:39:38 +0000 2025,"4/ Prediction after market close on Jan 29th for Jan 30th: We anticipated a muted market open, following major earnings reports from $TSLA, $NOW, $MSFT, and $META. We projected an opening range of 6040-6050 and expected choppy trading throughout the day. It's important to note",MSFT,Microsoft
Sun Feb 02 14:27:01 +0000 2025,"#BREAKING U.S. don’t need anything from Canada, should become 51st State. $GS $MS $C $BAC $WFC $JPM $BX $BMO $RY $BCS $MCD $WMT $HD $TGT $AAPL $META $MSFT $GOOGL $AMZN $BLK $BRK $XOM $CVX $COP $BP $TRP $SHEL $CAT $WTI $NG $USD $DXY $XLE $XLF $XLK $SPX $SPY $QQQ #WallStreet #NYC",MSFT,Microsoft
Sun Feb 02 18:49:23 +0000 2025,$MSFT - Tough reaction after a pretty positive earnings report last week. Still one of the best companies in the world from a fundamental standpoint. Seeing revenue growth in all its segments. Holding the lower trendline and reclaiming the weekly 50 EMA would be a good sign of,MSFT,Microsoft
Sun Feb 02 00:50:07 +0000 2025,$msft..looks like a good place to bounce from,MSFT,Microsoft
Sun Feb 02 17:19:54 +0000 2025,Master Trading Skills While Working From Home! $AAPL $AMZN $BTC $ETH $FB $GOOG $MSFT $QQQ $SPY $TSLA $EPR $WYND $LIVN $BBU $SPR $APLE $PK $M $CUK $CAR $CPA $EHTH $SHOO $CORT $EPZM,MSFT,Microsoft
Sun Feb 02 17:00:23 +0000 2025,Here is a quick recap of Q4 earnings from last week $META $TSLA $MSFT,MSFT,Microsoft
Sun Feb 02 09:00:51 +0000 2025,how can i send my USDT From Okx wallet to binance exchange? $pegy $AAPL #USDT $COIN $AMZN $MDWD $PLTR $MSFT $UP $KOSS $ANVS $META $DXYZ $ZONE $TSLA $NVDA $GME $DJT $MULN $QQQ $SPY $DIA $QQQ $IWM $AMZN $SOFI $MSFT $AAPL $TSLA $SPCE $UTHR $IN #Bitcoin #cryptomarket,MSFT,Microsoft
Sun Feb 02 22:36:18 +0000 2025,Trading stats from today's session: $AMZN $AAPL $BA $BABA $FB $TSLA $MSFT $ROKU,MSFT,Microsoft
Sun Feb 02 13:57:44 +0000 2025,"$MSFT Gapped down from the earnings report, sold lower, and has been unable to reclaim the 200 EMA on the daily. Looking for lower lows here. Short idea below 412.50",MSFT,Microsoft
Sun Feb 02 09:03:36 +0000 2025,how can i send my USDT From Okx wallet to binance ? $pegy $AAPL $SPY $COIN $AMZN $MDWD $PLTR $MSFT $UP $KOSS $ANVS $META $DXYZ $ZONE $TSLA $NVDA $GME $DJT $MULN $QQQ $SPY $DIA $QQQ $IWM $AMZN $GME $SOFI $MSFT $AAPL $TSLA $GRND $SPCE $UTHR #Crypto #Bitcoin #BTC #TRX,MSFT,Microsoft
Sun Feb 02 08:58:31 +0000 2025,how can i send my USDT From okx wallet to binance ? $pegy $AAPL $SPY $COIN $AMZN $MDWD $PLTR $MSFT $UP $KOSS $ANVS $META $DXYZ $ZONE $TSLA $NVDA $GME $DJT $MULN $QQQ $SPY $DIA $QQQ $IWM $AMZN $GME $SOFI $MSFT $AAPL $TSLA $GRND $SPCE $UTHR $IN #Crypto #Bitcoin #BTC #TRX,MSFT,Microsoft
