Date,Tweet,Stock Name,Company Name
Tue Apr 15 11:47:50 +0000 2025,"Here are the clip from yesterday’s show where I break down whether the original Mag 7 is breaking: $NVDA, $MSFT, $GOOGL, $META, $AMZN, $TSLA. And I introduce what I believe is the new Mag 7 for AI’s next era: $PLTR, $SNOW, $CRWD, $NET, $AXON, $MDB, $TSLA.",MSFT,Microsoft
Tue Apr 15 19:00:47 +0000 2025,"Master Trading Skills While Working From Home! ['&gt;""- $AAPL $AMZN $BTC $ETH $FB $GOOG $MSFT $QQQ $SPY $TSLA $EPR $WYND $LIVN $BBU $SPR $APLE $PK $M $CUK $CAR $CPA $EHTH $SHOO $CORT $EPZM",MSFT,Microsoft
Tue Apr 15 15:51:59 +0000 2025,"Here are the clip from yesterday’s show where I break down whether the original Mag 7 is breaking: $NVDA, $MSFT, $GOOGL, $META, $AMZN, $TSLA. And I introduce what I believe is the new Mag 7 for AI’s next era: $PLTR, $SNOW, $CRWD, $NET, $AXON, $MDB, $TSLA.",MSFT,Microsoft
Tue Apr 15 11:42:31 +0000 2025,"Here are the clip from yesterday’s show where I break down whether the original Mag 7 is breaking: $NVDA, $MSFT, $GOOGL, $META, $AMZN, $TSLA. And I introduce what I believe is the new Mag 7 for AI’s next era: $PLTR, $SNOW, $CRWD, $NET, $AXON, $MDB, $TSLA.",MSFT,Microsoft
Tue Apr 15 16:16:03 +0000 2025,"OpenAI is reportedly developing a new social network similar to X. Consider buying MSFT call options with a 1-2 week expiration. As a major investor in OpenAI, Microsoft's stock could benefit from potential growth and innovation in the social media space. $MSFT",MSFT,Microsoft
Tue Apr 15 16:35:46 +0000 2025,$GOOGL Daily. More relative weakness from $MAGS ETF names today doesn't inspire much confidence in this low volume bounce yet. Alphabet plus $AMZN $META $MSFT continue to lag market,MSFT,Microsoft
Tue Apr 15 06:49:16 +0000 2025,$MSFT Market Moves! Strong reaction higher from the blue box area—promising activity ahead. Keep tracking the action! #Elliottwave #Trading #Microsoft,MSFT,Microsoft
Tue Apr 15 13:53:16 +0000 2025,"TRUMP SAVES APPLE DRIVEN TECH RALLY FROM FAILING, OPPORTUNITIES AHEAD BUT DO NOT BE A HERO - Read more. $AAPL $AMZN $BTCUSD $GOLD $GOOG $GOOGL $META $MSFT $NVDA $OIL $QQQ $SILVER $SPY $TSLA",MSFT,Microsoft
Tue Apr 15 18:49:33 +0000 2025,"$META after Deepseek, Meta revenue from AI doubles, see at Q1 earnings soon. $SPY $QQQ get squeeze with all BigTech strong earnings, cash flow Banks, Software &amp; Services companies have ZERO Tariffs impact. $JPM $WFC $IBM $SPY $QQQ $NVDA $NFLX $TTD $PG $BAC $C $AMZN $MSFT",MSFT,Microsoft
Tue Apr 15 01:25:29 +0000 2025,"Live Sector Flow $spy $aapl $msft $amzn $meta $googl $avgo this are the top flow from spy if you like this post i kindly request to like and subscribe , much love",MSFT,Microsoft
Tue Apr 15 14:28:30 +0000 2025,"$MSFT over 21 day, now playing cat and mouse with 50 day from below",MSFT,Microsoft
Tue Apr 15 14:09:07 +0000 2025,Will TESLA stock keep Rallying? Will TESLA share rise from $256 to $300 today ? Visit my site #NFTs #Crypto #NFXWIN $AAPL $MSFT $JPM $BA $AXP $META $GOOG $BTC #Bitcoin $AMZN $WMT $LLY $HOOD $MA $QBTS $NVDA $TSMC $T $M $CVX $XOM $TSLA $AMD $BAC $AXP,MSFT,Microsoft
Tue Apr 15 12:42:12 +0000 2025,"$MSFT has completed a 5-wave advance from the 04/07/2025 low, reflecting bullish momentum. A 3-wave pullback is anticipated before another 5-wave move higher unfolds. Watch this video for more insights: #Elliottwave #Microsoft",MSFT,Microsoft
Tue Apr 15 11:25:22 +0000 2025,"$MSFT | (MSFT): BofA Securities maintains , $ (from $510) as deal activity normalizes",MSFT,Microsoft
