username,text,created_at,retweets,likes,
AlphaSense,"$MSFT senior employee shares his insights on growing data center demand, GPU production shifts, and the evolving future of AI landscape: - The expert explains that data center demand will continue growing in the short term, driven by global investments from hyperscalers to",Thu Mar 20 14:19:06 +0000 2025,22,99,
Zoomer,From a podcast a while ago Fundsmith’s Terry Smith apparently bought $MSFT when it traded at a 12% FCF yield. That shouldn’t exist… that’s so bizarrely cheap that we had to lie down and ask “what have we missed?! And the answer was - nothing at all” $Pdd is on a 20% FCF yield,Mon Mar 17 18:13:16 +0000 2025,3,27,
Phoebeeno,"$AAPL + $AMZN + $MSFT + $META + $GOOGL + $NVDA + $NFLX monthly if the #VAH from the 2022 low profile is tested (highlighted in yellow), it would be a 30% move from the top.. watch the $MAGS / $RSP channel in the pane below for confirmation; holding up for now.",Sat Mar 29 08:33:32 +0000 2025,0,0,
Modern Day Investing,"$AMZN is an amazing brand. Went to order something from $MSFT and the delivery time was 3 weeks. Went to Amazon and ordered the same item, for the same price and is getting here tomorrow. Bullish.",Mon Mar 17 23:01:24 +0000 2025,0,25,
Jordy Beuving,Oh and this from TD Cowen on $MSFT probably:,Wed Mar 26 18:32:44 +0000 2025,0,3,
Jacqueline Marjory,Notable Stocks Down -40% or More from 52-Week Highs: $INTU -40% $NVDA -65% $GOOG -61% $AMZN -55% $META -53% $AAPL -51% $MSFT -50% $BABA -48% $SPGI -46% $SHOP -45% $TSLA -43% $PYPL -42% $NFLX -41% $ZM -40%,Fri Mar 14 12:09:34 +0000 2025,7,24,
Deepak K Tiwari,"$MSFT IMO, Is the next candidate that may support markets from going extremely ugly... ... too soon. As long as its holding above 386.",Mon Mar 24 19:41:36 +0000 2025,0,13,
Midwestern Investor,"Portfolio update: Understanding my risk tolerance better and moving away from concentration. Not saying my stocks are diversified, but that's what the 401k is for New positions: $NVDA $NXT $MPWR $FSLR $ENPH Added to: $MSFT $ADBE $GOOGL $CELH $AEHR",Mon Mar 24 02:06:16 +0000 2025,0,12,
ryukhermes,Which Mag7 stock is going to have the best 2-year return from here? $AAPL $218 $MSFT $391 $AMZN $197 $GOOGL $164 $TSLA $249 $META $596 $NVDA $118,Sun Mar 23 20:36:23 +0000 2025,0,4,
Fazir Ali,"$PLTR is one of the only companies that is using AI to “kill” people, which we all know from the Terminator franchise is the optimal use case of #AI. However, some companies are using it to replace customer service agents like $MSFT, $CRM, $ADBE etc but those are lower tier use",Sun Mar 23 02:13:09 +0000 2025,9,40,
